Vault,Governor,Whitelist
0x6c718a70239fA548c0bD268fE88F37EBE8b6E2ea,Re7,Yes
0xABA9d2D4b6B93C3dc8976D8eb0690CCA56431FE4,Re7,Yes
0x39dE0f00189306062D79eDEC6DcA5bb6bFd108f9,Re7,Yes
0x4eC5B9a4d4FD9E35d4f881D35AAB9877bfdA5803,Re7,Yes
0xB1Ec13C66fdb12205C6C82c392a5A3b393207388,Re7,Yes
0x7485484Dab196C615AE21453C3ABd732977562f2,Re7,Yes
0x38a559c2b6eF3fF7Cdc40a800D6351a2B70b2243,Re7,Yes
0xb52a9c3aea75939a78287F81b53A9e965e058eec,Re7,Yes
0x2137568666f12fc5A026f5430Ae7194F1C1362aB,Re7,Yes
0x27807C61F6b376754b7ce208AA8b17D2DA56d582,Re7,Yes
0x72F92a966f1874f74e1b601BEe7CF57031B53A03,Re7,Yes
0xA06e66646292b2C2042495B955fe07c4036f6635,Re7,Yes
0xA45189636c04388ADBb4D865100DD155e55682EC,Re7,Yes
0xFECebF56f150A68dDd197c3a6101da35C46693Ac,Re7,Yes
0xA429273b892c2c90b1d90778f4786e6470F402eC,Mev Capital,Yes
0x1Ff8f20dFF1dA13fEdD975224b580766dbB7634e,Mev Capital,Yes
0x5cB6F04682299eB196F7d673c09a04DF68028071,Mev Capital,Yes
0x69B07dB605d0A08fbE9245c1466880AA36c8E1A7,Mev Capital,Yes
0x152179bfc75f780bFe5b0d3c0D3c797108fB24C3,Mev Capital,Yes
0x91bFd7192990c2A56dF4AceFf5Fe063B75b636A5,Mev Capital,Yes
0x6fC9b3a52944A577cd8971Fd8fDE0819001bC595,K3 Capital,Yes
0xa446938b0204Aa4055cdFEd68Ddf0E0d1BAB3E9E,K3 Capital,Yes
0x5030183B3DD0105d69D7d45595C120Fc4b542EC3,K3 Capital,Yes
0x03ef14425CF0d7Af62Cdb8D6E0Acb0b0512aE35C,K3 Capital,Yes
0xe91841F707936faf515ff6d478624A325A4f9199,K3 Capital,Yes
0x38eA4c0724b20B02e5fdE235F657a3aFc184f5aC,K3 Capital,Yes
0x4d758aB40Abb122402F01e1ec4C71ACb06A1f620,K3 Capital,Yes
0x6072A6d18446278bB5a43eb747de8F61e34cB77f,K3 Capital,Yes
