Vault,Governor,Whitelist
0x107a441C473517a37b03dcd8024C5B63E3Cc13DF,Mev Capital,Yes
0x7593931d08e3BAA750cA3cB6A0d0fDe6acD65107,Mev Capital,Yes
0x216f6D6C2ca15f83B656f3E9a8FcDf615DBC1710,Mev Capital,Yes
0xe54DFfd36177975938A3873e522dEE535ADebe01,Mev Capital,Yes
0x0dD93eb321A768A274d21062067B52527aBd4506,Mev Capital,Yes
0xD98125a23fAeb48180e33cA6Eef8F128E07418d1,Mev Capital,Yes
0x777C95b204E2Ed3906885eF09f4531882587B52C,Mev Capital,Yes
0xC6767dd1fFaA730f6fc90b353d5928E6e9d55C1b,Apostro,Yes
0xa6282FfCDBC1d23dDAd65e97B9d033C4517Ec05E,Apostro,Yes
0x6078b5dE9d10587cb466ECbBF55C95898AFe99C2,Apostro,Yes
0xc27d44A8aEA0CDa482600136c0d0876e807f6C1a,Apostro,Yes
0xC0C13008711cE250699E3A94dCEED5EFd4e8e02a,Apostro,Yes
0x5fd02479F938929F6b9fE1b7Af6430cfD4afa6Aa,Tulipa,Yes
0xA9cA5c4bfF689afcFB249AE81565422fa78F82b4,Tulipa,Yes
0xEcD1F58B9DC4bbC3A32409961B8520B0A8fcd483,Tulipa,Yes
0x932FE4797d681a7a82262BC385B534ba069249E1,Tulipa,Yes
0xa6439FD63C19Cc4893EAcaD20320D11cfd0Ad12C,Tulipa,Yes
0xfd30377A3173f709d8224Fee7718E312A0868A34,Tulipa,Yes
0xc33c2A5f3c27bcB5559f17ff97A04F281f898f04,Tulipa,Yes
0xca522ECab584b5430ADb946edEE4224A63628362,K3,Yes
0x8CE379f1e092f0afCef665529F0d86acf92E8Cd4,K3,Yes
0x1E55a40c9C7ca76a8671D8366bEC8c5f8754a336,K3,Yes
0x07167e620612069830fdB5289406bB7A1Ddf781c,K3,Yes
0x88A81184243c561026973d25384651E6cc0796A4,K3,Yes
0x10888BD509aC3e1f423D171008288462988827d5,K3,Yes
