Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness,,,,,,,Asset class
ETH,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x9895D81bB462A195b4922ED7De0e3ACD007c32CB,0x0000000000000000000000000000000000000348,0x43A7dd2125266c5c4c26EB86cd61241132426Fe7,90000,,,,,,,Crypto
USDT0,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x0000000000000000000000000000000000000348,0x70b77FcdbE2293423e41AdD2FB599808396807BC,90000,,,,,,,Crypto
XAUT0,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x1B64B9025EEbb9A6239575dF9Ea4b9Ac46D4d193,0x0000000000000000000000000000000000000348,0x354Df1ca4AE838A45405B3486ED0161AA7f01191,90000,,,,,,,Crypto
USDe,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,0x0DFdCF9AF39Be41E40a52A80fa86e23A69a69C3B,90000,,,,,,,Crypto
sUSDe,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,0x0ca32ed285ADDf84E8491f5EDB835E10635945A2,90000,,,,,,,Crypto
WEETH,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xA3D68b74bF0528fdD07263c60d6488749044914b,0x0000000000000000000000000000000000000348,0xBfEd4ef33B8ec58bC15fcbb4a0f934A812d5D7b5,90000,,,,,,,Crypto
USDT0,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x0000000000000000000000000000000000000348,1000000000000000000
USDe,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,1000000000000000000
USDai,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x0A1a1A107E45b7Ced86833863f482BC5f4ed82EF,0x0000000000000000000000000000000000000348,1000000000000000000
syrupUSDT,USDT,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xC4374775489CB9C56003BF2C9b12495fC64F0771,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x89a0e204591Fce2611e89CA7634c12B400d347fe,90000,,,,,,,Crypto
syrupUSDT,USD,Cross,Yes,Yes,CrossAdapter,0xC4374775489CB9C56003BF2C9b12495fC64F0771,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x0000000000000000000000000000000000000348,[Chainlink_syrupUSDT/USDT],[FixedRate_USDT0/USD]
