Vault,Governor,Whitelist
0xad9e5E2647EFb9137B6B8D688d4906fa51476870,Mev Capital,Yes
0x6D976915bD9DE43De1A60C39e128e320dadda000,Mev Capital,Yes
0xb758d6eC8111FEB9b0EC758A61B7874e5821dfFd,Mev Capital,Yes
0xd538b6aeF78E4bDDe4FD4576E9E3A403704602bc,Mev Capital,Yes
0x1371dD58ce95eCD624340F072f97212A2661A280,Mev Capital,Yes
0x826244d9Db2A0f438C3190a0f393c13d41AD7a2E,Mev Capital,Yes
0x91e1Ec1e948F635c127dad41eaE1aF899399F15a,Mev Capital,Yes
0x027DcAfB223f69d41Bd413C50854017718419585,Tulipa,Yes
0xE932da5A4d00536c224f8153f299cDcD8054c444,Tulipa,Yes
0x542B1ffd33C239C7AFc6511FB8855390Aa9c8aC2,Tulipa,Yes
0x16C7169421CfB2C78b2D447b9274c61B8b2E846a,Tulipa,Yes
0x4f652B92a8CD9e251Db4d43b2073F689E94B4Dba,Tulipa,Yes
0x89fd57175eceec45992e07c206e5a864fa6af433,Re7,Yes
0x66f233ac844c3948a516857ca769872e5941f91c,Re7,Yes
0xe318d262290abab80fc6e217c514801e2c0ef999,Re7,Yes
